tweet	label
@user Hantsi leqa gidan kowa😂	neutral
@user Da can basu saka sunanshi bane? 🤡🤡🤡	neutral
@user Ruwa ruwa baba😛	neutral
@user Indai ba tsoro toh adawo mana da PRESIDOR mana naga yanda shi wannan sarkin wakar zai wuf da sumayya 🤷🤷 a zauna lami lapiya.	neutral
@user A maidasu inda suka fito😄😄	neutral
@user @user Abu daya zan gayamai shine yaji tsoron Allah kuma ya sani fa mutuwa dole ce kuma tana kan kowa🤗	neutral
@user 😲 kaga baki ya zama salansa	neutral
@user yace masoyan sa su zabi @user...😂😂😂	neutral
@user Tofah 🤔🤔 Andage dai sai anyi mana abar nanko 🏃🏃🏃🏃🏃	neutral
@user Kaji ance radiyeto wai akafa take😂😂😂😂😂	neutral
@user A gidan mu ne😂	neutral
@user @user Power da aka bah presdo tayi yawa 😔	neutral
@user Makwabcin mai akuya ya said kura👌	neutral
@user Yen yen yen atambayi fuska😂	neutral
@user @user Waya ga casu 😂😂😂	neutral
"@user @user Toh fah inji 'yan magana suka ce """"""""ana wata ga wata""""""""🤣😂"	neutral
@user TAZOOMIJITTA KAJI WANI LBR 🤔🤔🤔	neutral
😂😂😂“@user: Barcelona ta zura wa Madrid kwallaye 2-1 http://t.co/uFonrkZ60D”	neutral
@user Jirgin yawale ta amsa 😁	neutral
@user baxaku gyara ba kenan😂	neutral
“@user: Wasu bama bamai sun tashi a Gombe http://t.co/O4UBrdpHXP”😩 My Home Town	neutral
@user Excuse me yanatan Ina🙄	neutral
@user IPOB dai ba yan bindiga ba!😏😏 ku cire Wannan logo din ta bbc hausa ku maidashi bbc Nigeria kawai 😏😏😏	neutral
@user Mai kwa zamu sane tunda manjo haryanzo ba a kai fishinsa kar shiba balantana musan maku marmu 🤔	neutral
@user Daya tak wanda nake cikinta banda wanda aka haifeni achiki Nigeria 🇳🇬 kasata ta gado	neutral
@user @user Akwai Allah koro??😀😂🤣	neutral
@user Matasan kutare ko km matasa masu lfy?🤔🤔🤔	neutral
@user Hhhh ansha kaya jiya ai bamu iya komaiba🤣🤣🤣🤣🤣🤣🤣	neutral
@user Kaji gidan yayi tsit saboda da alura ta tono garma...Amma ba Dan hakaba da yanxu kaji gidan kaman zai tsage..sai BABA. 👇 https://t.co/FiRsUKdXBj	neutral
@user A tsaya iya nose din dai😁😁	neutral
@user Ko dai auren mutu'a suka yi ne?.😎	neutral
@user Ya rage naka kuma😋	neutral
@user Lokacin da za a dauki yan alfarman yana ina 😡	neutral
@user Duk wanda ya ce miyar kuka ba ta da dadi wata kila ta gidan su ce ba dadi 🙅🏾‍♂️	neutral
@user BBC me kuma ya faru?? 🙆🙆	neutral
@user 🤣🤣🤣🤣 kayi Abinda kayi dai	neutral
@user Aikin gama ya gama🙅‍♂️	neutral
@user Dama kin iya turanci.....🤣😂	neutral
@user Yaya Dan Kwambo wallahi sai na Kure ma gudu 🤣🤣🤣🤣	neutral
@user Rikon kwarya barca ta bata Zata sakko ne 😂 bari Messi ya dawo.	neutral
@user Tom Anfara daukan manya😳😳	neutral
@user 'yar uwa kar ki manta in babu mutuwa akwai tsufa🙆	neutral
@user zazzau sai an gama karanta littatafai 📖📗📚👌🤓	neutral
@user Harna Tina da great Wall🤧🌚😂😂	neutral
@user Gareka Shugaba @user da kuma hukumomin @user da na @user lalle akwai sauran aiki a gabanku 🤣🤣🤣	neutral
@user Ƙarshen duniya ne ai! 😫😫	neutral
@user Nikam kasuwa zan koma chan inyita fafatawa da kwastomomi lol😂😂😂	neutral
@user @user Ba'a gani ba Hajjaju,30 muka dibo😂	neutral
@user Nima akwai abinda na fita😀😀💪	neutral
@user 🤣😂🤣😂 @user akwai ku da abin dariya	neutral
@user Babu abin da ya samu kwakwalwar sa ,mu dai kara hqr kuma mu ci gaba da wanke hannu😂😂😂😅😅	neutral
@user hmmmm ya nabada gaskiya ne Kawai🤔🤔	neutral
@user @user @user @user Haha IDAN DA A QAUYE AKA HAIFE KU DA YAYAN TARA TARA YANZUU 🤣	neutral
@user 😂😂😂😂 ya za ai su dawo?	neutral
@user @user Kamar wani @user Ha 😂 Ha 😂	neutral
@user @user Gaskiya mudai baba badaru yace mazan mu suje idi don haka ba wannan zancen a nan🙄	neutral
@user @user 😂😂 Ashe kuna hannun kenan 😂	neutral
@user Tambaya ☝ Shi usman dake karkara kumafa miye matsayin sa? Domin Alamu dari bisa dari sun bayyanawa duniya cewa yanada wata boyayyer manufa, dan bazaiyi wannan zaƙewar abanza ba	neutral
@user Tura taya 🌚😁 yaran yanzo yen gayu neh sai skooter, ko skateboard	neutral
@user @user Chief of AIR staff, AIR Marshall Sadiq Abubakar yayi nasara akan wassu yen ta’ada a borno yau. 🙌🏾	neutral
@user Hehehe saikace wani tallen zobo wai kwantai😄	neutral
@user Wasan da. Nike ganin zai janhanka. Masu kollo shine 🔆. Wasan. Juventus da Tottenham. Dan. Za.a.bata.kashi..of 👌. Madrid Club	neutral
@user @user @user Wai a cire kayan aiki 😃😃😃🙈🙈	neutral
@user Abun haryakai ga haka😂😂	neutral
@user Shima Baban namu yau ko gobe zai sa 😀	neutral
@user Kawai ne ma? Ay yasauka shine😎	neutral
@user @user wai Kai ba fitacce bane 😂😂😂	neutral
@user Wannan Zakzaky ne yake jin Radiyo😂	neutral
@user Ba rami mai ya kawo maganar rami🤷‍♂️	neutral
@user ....tohm shikuma dan zango daya koma lagos da zama waye zae karasa mana #basajagadaga ..... Abeg help me ask hiim kodae mu cire rai neh kawae😢 @user @user @user @user	neutral
@user Tau fah😲 Yamaida kanshi or sukamaidashi?	neutral
@user Kae Jama'a ! Wannan wanne irin magani aka basu haka kamar walkiya.🤣🤣🤣	neutral
@user Kuyi mani yabani inajin Ku😪	neutral
@user Ai dama chan yayi kama da.... 😀😀😀	neutral
@user Allah yasa mutanenmu su gane cewa duk yan siyasan kasanan irinsu dayane,bukatansu kawai sukema idan basu samu ananba sai kaga sun koma cen,ko idan bakatansu bata biyaba ko sun hango zata bare,to yanzu zakaga abokin gaba ya zama dan uwa fact👌👌👌	neutral
@user An miki make up na zuciya kenan🏃🏃🏃🏃	neutral
@user Kaiiii kowa mah yayi shiru ga sarkin yakin rahma yazo 💪💗😎🚨🚁🔱	neutral
@user Saboda sunkara kulla alaka da Isra'ila ko 🙄	neutral
@user Mi ara koma baya 😁😁	neutral
@user Tuwon girma, sai ankashe rayukkan kaji😂👍	neutral
@user Saura makwaftan mu Nigeria 🇳🇬 suma ya kamata susamar da tasu kuma a fara gwadata akan baba manjo dan daura 😁	neutral
@user @user Shiga ah haka oga 💡	neutral
@user Lallai Sun dau Selfie mafi tsada.😲	neutral
@user Ta yaya za mu sani🤔	neutral
Marylyn Ogar are you next ? 👀“@user: Colombia: An daure tsohuwar shugabar leken asiri http://t.co/i9AcpynkVH”	neutral
@user Gara mai rowa, sai kasa rai akan abun hannushi zaka dama 👌	neutral
@user Toshi da awwa😂😂?	neutral
@user Ancema ran Juma'ah tashin duniya 🙄🙄	neutral
@user Ga tsoro gakuma bantsoro 😂	neutral
@user Me hana giwa bacci @user 😁😁😁	neutral
Finally 🙉 “@user: Dakarun Nigeria sun kwato garin Gujba http://t.co/yTeyyNx4IR”	neutral
@user To megida how about us? Komu base angaishemu ba?🙌🙌	neutral
@user kanwar duba rudu 😅🤣	neutral
@user Wasu daga chiki😄	neutral
@user Ashe kinsan waye king 👑	neutral
@user Kaji wasu mayu fa🤦🏼‍♂️🤦🏼‍♂️	neutral
@user Ana ta diban palliatives bayanan💔😥	neutral
@user An gama haska mata a zazzau kenan😂	neutral
@user Kaicho, wadda bata cikin yabo😥	neutral
@user Toh fa! 😯 Akwai sauran aiki kenan.	neutral
@user Gwamnan jihar Adamawa ya bai wa waɗanda suka sace kayayyakin abinci a jihar wa'adin awa 12 👉 https://t.co/9usASDF4g5 https://t.co/mxHLBIPTmB😁🤣😄	neutral
@user Gari zai shakeka😂	neutral
@user 😖😖Gaskiya da mu munana ne	neutral
@user 😆😆😆😂😂😂 toh laifi yayi kenan koh me?	neutral
@user Ina gaiyatarsu ranan daurin aurena 😂	neutral
@user A gani a kasa ba fda a bake nima xa eya cewa ba wanda y esa y taba ni en dai wanan maganar ci baba kowana banxa a gare xai eya buga gerji y fda 🤷🏽 Shekara nawa ana mgna 1 mu gaji da eri mganar nn muga change da k ki mgna 👌🏾	neutral
@user Maganar CIKI tafi komai 😂😂😂	neutral
@user A wacce Duniyar kuma🤔🤔🤔	neutral
@user Aunty Ramatu Wai Mukam Yaushe Za'a Kawomana Mati a Zazzu Minna Ne. Komadai Mucire Rai. ? 😀	neutral
@user Kenan yana nupin sun kusa fara shiga Abuja 🤔 🤔	neutral
@user Zamada madaukin kanwa shike kawo farin kai 🤔	neutral
@user Da kun kawo mana ai, ruwa 100 degree babu abunda ya bari😂😂😂😂😂😂😂😂😂😂😂😂😂 Wane shekara ma akayi bird flu, ance lokacin ko karya kashin kaza baayi a kasar mu🥲	neutral
@user Taska wai so kukeyi sai mun mutu ne kafin a ci gaba da gidan badamasi.... MUN GAJI DA JIRAAÀAAA😭😭😭 Ko a dawo ko muyi zanga zanga mai karfi🔥🔥🔥🔥	neutral
@user Ina ga irinta😥🤔	neutral
@user @user Ba gudu ba ja da baya yin Hijirar yan Kaduna daga KASU 😂😂😂	neutral
@user Anfara fa @user ke ake jira ki fito 😎 https://t.co/N7QRReq0LS	neutral
@user 🙄 Kuce gobe zamu fice daga 🇳🇬	neutral
@user Anya Mai kula da wannan kafar ta @user ba dan shi'a bane kuwa🤔	neutral
"@user @user Taska🤣🤣🤣once said """"""""mun amince"""""""""	neutral
@user Koh dai Dan Nigeria yaje chan😂😂	neutral
@user My man Bello had to sub tsohon sanata..... Kai jamaa 😅😂	neutral
@user Najeriya ɗin mana😂	neutral
@user Bukatar maje hajji sallah,yasha ruwan zam-zam da bagaruwa ga Kuma dabinon ajwa😋,sannan zk iya zuwa da yaji sbd akwai dajaja bayan Kuma kachi sai ka kora da madara mai sanyi 😂🤣😂	neutral
@user Miye shedunku nachewa anbude masu wuta 🤔🤔❓	neutral
@user Marsala ma sai kun kori messi ma tukunna 😂😂 Hala Madrid 💪	neutral
@user Lol... Watsi kam..... 😂😂	neutral
@user Kokuma kin dawo daga siyan kayan lefen yarki bah 🧳🧳	neutral
@user Chi muje gida @user 😁😁	neutral
@user @user Wai wait. Maganar case din @user da @user bai tabbata ba kuwa imagine how she hug @user at the first pic🤔	neutral
@user Wacece haka? Wacece Rahmat Sadau?🙄🙄 Ku Mana bayani akan @user don na santa please.	neutral
@user Tashen akan sabon Allah? Toh meye abun burgewa a ciki??💔🤦🏾‍♂️	neutral
@user Ba xaka masa kara ba😂	neutral
@user Buhari 9 atiku kuma yabar club din😂 #AtikuBusted #PEPT	neutral
@user Abun da bazan faba mantawa da shi ba she ne halin da duniya ta tsinci kanta aciki😭😭😭	neutral
@user Amma Boda ba akulle takeva🤔🤔kodai ta huje ne?	neutral
@user Zama ku fadi mai kamshi.....🙄🙄🙄	neutral
@user Aa gara a barta presdor yayi maganinta kawai 😅	neutral
@user Kuma kai ma baka isa ka san mai ke wakana a cikin ta ba 🤷‍♂️	neutral
@user Dama akwai majalisa a Najeriya 🤔 🤣	neutral
@user 😂Yarannan na twitter bakwaji wallahi daga cewa ta raba kafa kuma saiku canza zance haba kukuwa a neman kudintafa suke nufi ga harkar film ga kuma kasuwanci.	neutral
@user Me dashen gidan tsuntsu😂😂😂	neutral
@user Lallai ayi hatara 😎	neutral
@user Yaja Daloli a dukkan alamu. 🤣🤣🤣	neutral
@user Wannan maganar maxa ce bari muja gefe 😸	neutral
@user Kowa zai girbi abinda ya shuka. Kuma shukar dakayi ko ka mutu za,aci gaba da bata ruwa😁😀	neutral
@user A wajen Qabilu?? Mu AI kullum dama ranar Hausa Ce tunda ita ake yi a Dambatta. 😋	neutral
@user Sadau wai yaushe xaki sakar mana mati a zazzau ne mu kallah 🙏🏼	neutral
@user Karshen ta da eyakah.....😊	neutral
@user Ajiye mana sukayi sai mun kara girma ?🙄	neutral
@user Lolz😄 ta aure shi ko ya aureta!? BBC hausa una no get news again 🤔! Haba since last year!	neutral
@user Menene dalilin dayasa idan yaci riba bakwa gaya mana sai Dan ya fadi wannan Dan karamin kudin kuke fada mana😒	neutral
@user Suma sun biyo layi kenan😳🤔	neutral
@user nawa aka rabawa masu zaɓe? 😅😅	neutral
@user uhmm lallaima wannan aikin haka 😍😍😍	neutral
@user 😂😂😂Akwai mangwaro ko agwaluma my mai ciki dey need it	neutral
@user Su ba ruwan su da covid-19 ne 😂🏃🏃	neutral
@user Hutu ya kare kenan😂	neutral
@user @user Ko shine yayan namu😁	neutral
@user @user wow ga dama tasamu fah gaskiya kamata yayi inje nima a maqalani 🙈🙈	neutral
@user YOO SHI VPN BA A IYA KATSE SHI NE 🤣🤣🤣 YOO GAMU A TWITTER DAE	neutral
@user Bama buqatan saninshi 🙄	neutral
@user Ki shekara 2500 aunty 💕	neutral
@user Ni kai na akwai wata rashin lpia danayi tare da mage (cat 🐈) dita mukayi jinya ba ci ba sha 😂	neutral
@user Dama Manya ma suna fada😅	neutral
@user @user Faranta ran su waye🙄	neutral
@user Hakan shine dai dai domin hakan nabada dama tada zaune tsaye ✊	neutral
@user To BBC ai sai ku daure ku gaya mana irin waɗannan matan a Zaria ake samunsu ko a Kano don mu san anda zamu tai biɗan aure 🤔	neutral
@user Iko sai Allah yaushe itama da wadata kanta da wutar lantarkin 🤔	neutral
@user Dan ALLAH wajen daukar azimi wace irin addua kukayi inajin dai kowa cewa yayi salasina yauman au tis a wa ishrina yauman 😄😄😄😄😄so let's achieve it kawai	neutral
@user Wai Da Kayi Magana Sai Ace Maka #Independence_Day59🇳🇬 Ba Independent Ba Wollah:💥 Dependent Din Ma Tace.......🤣 #arewa #arewaweddings #arewabride #arewapeople #arewafashion #arewafamily #arewawedding #arewabeauty #naija #naijacelebrity #preweddingnaija #hausa #hausabri	neutral
@user Wato ba a taba susar data farantamin rai irin wannan ba🤣🤣madallah baba ganduje	neutral
@user Dama ba’a daina ba 😂	neutral
@user Ayyo! Ashe yasan kunya😂	neutral
@user @user @user Toh amfanin GPS kenan, an hango location. Saura delivery kawai.😂	neutral
@user Yaushe zaku haskamana shi a nan katsina ne tunda bama kano 😢	neutral
@user #Askrahama baki amsa tambaya ta ba🙄	neutral
@user A'a tana yawon buɗe ido ne 🙄🙄🙄🙄	neutral
@user Zakuje jana'iza ne😂	neutral
@user Ahh wannan sai ku tambayi Nasiru zango😂	neutral
@user Su Kaduna an fito a jerin guraren bude ido💃💃💃 Amma ni da je Kaduna banda masu soya kosai da doya Allah bai nuna min komai ba	neutral
@user @user wannan ai yaren 'Yan Tasha ne😂	neutral
@user @user Ana magana dakai🚶	neutral
@user Shiyasa koda yaushe suke shan ci, sbd da busasshen tungande suke miya😄😄😄	neutral
@user Yayiwa rabbu yadawo sokoto wurin SULTAN OF SOKOTO🙏😭❤🔐	neutral
@user @user Baba, ka tuna cewa talakawa ne Suka kashe kudaden su domin su ga ka shiga mulki don kayi chanji Mai kyau!😭 Talakawa na kuka baba!	neutral
@user Please someone should translate to English... hausa na bai Kai haka ba😂💔	neutral
@user A matsayina na member na #stingymenassociation of Nigeria inason zama damai rowa. Ci naka inci nawa ba laifi bane😎	neutral
@user Nidai nayi bude baki da gasashshen Dan wake😎	neutral
@user Jiya naji wannan lbr a fcbook ban yarda ba amma yanzu NA aminta hmm Nigeria kenan kasarmu ta gado🤔🤔	neutral
@user 🤣🤣🤣 Sae a gyara zama a gida anaemi ruwa da sabulu a hada da sinitiZer Aunty coro on duty	neutral
@user BBC mutanen mu😂😂	neutral
@user 250k tashin farko😂 Yar minister.	neutral
@user Fam daya ko fam Miliyan daya? 😂 😂	neutral
@user Hehehehe saura NASA mukai dubu Dari har na kagu inga munkai dubu Dari 😂💃	neutral
@user Kashiga hannu kenan 😅	neutral
@user @user Ayi dai mu gani.....en nanaye🤣🤣🤣	neutral
@user @user Ina buƙatar agajin gaggawa! 😭😭😭😭	neutral
@user Back to school then. Ilimi bashi da karshe💧💧	neutral
@user Yanda mukasha jiya😂	neutral
@user 😄 Allah Sarki! Bari da Biba ko ana ina yanzu?	neutral
@user @user zo ka tafi da admin dinnan naku 😂	neutral
@user Ya Amshi rabo nai 😂	neutral
@user Daga baya Dai gaskiya ta fito fili🤣🤣🤣🤣	neutral
@user Tafiya....... Maganin Gari Mai Nisa 🏃‍♂🏃‍♂	neutral
@user Sbd ba wajen sallah bane🙏🙏🙏	neutral
@user To kuma meye huruminku? 😒	neutral
@user gobe zamuyi tamu😂	neutral
@user @user Kwarrai da gaske 😁 https://t.co/m78C618EeY	neutral
@user Ai dama muna jiran haka. Lokacin da yazo emergency rescue na election a kano ya zata kanawa ne kadai zata shafa. Gashi yazo kanshi😂	neutral
@user halo me nayi kuma? Cydm. 😇	neutral
@user Za'asha browsing, wasu da yawa baza su maida hankali kan aiki hajj ba 😔 😔	neutral
@user 🤣😂🤣 sai an cire kaya	neutral
@user Kadan aka gani😁	neutral
@user Matar driver ta haifi tayar motah😂	neutral
@user Jira yake iyayen gidansa su saka mata kudi👿😈	neutral
@user Kutama dai tamu ta Hausa? 😂	neutral
@user Lallai tattalin arziki yakai ba da gudu ba🤣🤣	neutral
@user Sai a gida kenan lallai babu Mai hana musha gaban iyayenmu to 😂😂😂	neutral
@user Kun yi kidanku, kun yi rawarku!🤔🤔	neutral
@user @user inaga @user zai samu lasisi kenan very soon 😂😂	neutral
@user Yo su mayi na shinkafa da miya mana...Ina anfanin wannan yanayi😏	neutral
@user In anyi zaben gaba ,sai muga yazai🤣😅	neutral
@user Inda yan arewa ne da tuni labari yasha bamban 😈😈😈😈😈😈	neutral
@user Zubu da shayi, idan ma kowa yaki shi zai ansa😄	neutral
@user Iyakarmu na mujiya👀	neutral
@user A Ina zan Samu number ta pls 👏👏👏	neutral
@user Kunga abinda ta jawomana ko 😭😭😭 https://t.co/VTtCiuGrg3	neutral
@user 😂 😂 😂 Kamata yayi ka Jura sunan ka zuwa Trump Adam Sandler	neutral
@user Su yo tanan dama mae garin baya nan😅😅😅	neutral
@user @user @user @user @user @user @user @user Maybe Yana fama da buga katin bikin sa.😂	neutral
@user Ohhh sai yanzu suka gano ta dalilin minor thing? 🙄🙄	neutral
@user Amma A Wannan Hoton Ai a Hannun Hagunsa Yake 🤔	neutral
@user Nace kun sake jin yace yana son aiki 🤣🤣 kun sake ji 😎	neutral
@user @user @user @user @user @user @user Na tambayi @user ina jiran amsar sa indan shima yace bai sani ba to zance #BAZUKA ya tambayar min Kai Don kasan Karon ku dashi 😂😂😂	neutral
@user Yo ai mukuma bamusan matsayinka ba 🤷🤷	neutral
@user Yauwa gobe kmar haka baki bude yake🐒😍	neutral
@user Sarkiin sakwato mufa Baqaqe ne ba Farare kagane 🤷‍♂️	neutral
@user Tuwon girma Miyarsa nama 😂	neutral
@user @user a haka kake cemin nabi., never 😫	neutral
@user Saura na kasar nan ta yamma ga Chad 🇹🇩	neutral
@user A nemo ruwa da sabulu 😁	neutral
@user 🤔 Toh pha Ana wata ga wata 😇	neutral
@user Wan nan da oga at the top kike bari yajiki...🤣😁	neutral
@user Yaya dankwambo zai fito dashi😃😃	neutral
@user to wane irin chatting, text ko voice note kokuma video calling ko kuma group chat? 😂	neutral
@user Yes oo Ko mu hada ki dashi ne 😜	neutral
@user Nawa za avan nima Mun gaisa dashi Da yasakko😁	neutral
@user Karka sa ta korosji waje, 😁	neutral
@user Ƙahon fara🐝 kenan, sbd bai da amfani	neutral
@user Tohh aidama yace😋😎😎😎🤬 shi legas zashi tunfarko , hakayace 😮👩‍✈️👨‍✈️👩‍🏫👩‍🍳🧝‍♂️🧝	neutral
@user Idan Baka Saketava Mexe Farune?😒	neutral
@user A shirye yake✌	neutral
@user @user Me zaki iya cewa game da wanda yayi releasing videon da kuma wacce akayiwa ?🌚 https://t.co/H3cmFNO3ns	neutral
@user YDG Daura Photo Ko Rubutu, a internet Zai Iya Shafar Rayuwar Masu Shawar Siyasa, She Dace Ta Gane Mutum Nagari Ko Lalace ce 😆😀😫😪😝😜	neutral
@user Mufa mun gaji da xaman gida muna ta wanke hannu ya kamata kaema kabi duniya a sannu ka dawo mana da #GidanBadamasi 🤣😂🤲	neutral
@user @user Abinda ya kamata a gano kenan🤔🤔	neutral
@user Ya ka kiyaye gaba.🙏	neutral
@user Yafi Kam inason sayo Benz dama🤸🤸	neutral
@user To wai Dan Allah ina ake kai kudin da ake karbowa bashi din ne? 🤔🤔	neutral
@user Gurin NCDC a sake rufe mu ko?, toh mi ake jira?, suma watarana sai labari, sai an wayi gari abunda suke mawa wanda suke samu babu🙏🙏🙏	neutral
@user Ni nigerian ma state 4 kawai naje Adawama Taraba Gombe Bauchi🥴🥴🥴	neutral
@user 😅😅😅🤣🤣 Shinkafa kowa yaganki ya tuna manjoo.	neutral
@user @user Wannan gaskiyane wasu yan fim A wannan gun anacimasu karansu bababbaka da sunansu🤔🤔🤔🙄	neutral
@user @user Inna network yadawo zanji 😂😂😂😂😂😂	neutral
@user Tatsuniya kamar yadda aka saba.😄	neutral
@user Lol za.a rufe ne lokaci kadan nan gaba 👌🤗	neutral
@user 1. ATM: Cartin Zare Kudi daga Babur na Kudi 2. POS: Babur na aika, siyesiye da zare kudi 3. Data: Nau'ran shigan iskan duniya 4. WhatsApp Status: Wajen rubutu da wajen kwallo na WhatsApp. 😎	neutral
@user Tsakaninka da Allah in akabaka miliyan 10 zaka auri rahama sadau 🖕 ? retweet and like danjin raayin wasu. Ni dai banda ni mun raba gari 🙅🏽 https://t.co/oUm2sts3FZ	neutral
@user Me kika tanadawa mutanen da suke dole sai sun fita sun nema suke ci?😭😭😭	neutral
@user Tanaga mai kumatu😂	neutral
@user Pls @user merh nene ma'anar MAZAKUTA saboda bansani bah 🙏🙏	neutral
@user Ni Nafison WhatsApp dinma da Najeriyar 😏	neutral
@user Sabida kawae sunfi karfinsu🤨	neutral
@user Wato suka akwai almajirai kenan??? 🤔🤔🤔🤔	neutral
@user Karin magana ne ko da gaske?😆😆😆	neutral
